seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12749,711814,12,43495898,85',Jordy de Wijs (Fortuna Düsseldorf) Substitution at 85',2024-08-05 09:30:51
12749,711814,13,43495899,85',Tim Rossmann (Fortuna Düsseldorf) Substitution at 85',2024-08-05 09:30:51
12749,711814,14,43495900,86',Tim Rossmann (Fortuna Düsseldorf) Goal at 86',2024-08-05 09:30:51
12749,711814,15,43495902,87',Tobias Kempe (SV Darmstadt 98) Substitution at 87',2024-08-05 09:30:51
12749,711814,16,43495914,89',Klaus Suso (Fortuna Düsseldorf) Substitution at 89',2024-08-05 09:30:51
12749,711815,0,43488660,2',Marc-Oliver Kempf (Hertha Berlin) Yellow Card at 2',2024-08-04 09:28:48
12749,711815,1,43488748,35',Márton Dárdai (Hertha Berlin) Substitution at 35',2024-08-04 09:28:48
12749,711815,2,43488762,42',Felix Götze (SC Paderborn 07) Goal at 42',2024-08-04 09:28:48
12749,711815,3,43488799,48',Filip Bilbija (SC Paderborn 07) Goal at 48',2024-08-04 09:28:48
12749,711815,4,43488840,55',Derry Scherhant (Hertha Berlin) Substitution at 55',2024-08-04 09:28:48
12749,711815,5,43488862,61',Luca Herrmann (SC Paderborn 07) Substitution at 61',2024-08-04 09:28:48
12749,711815,6,43488887,67',Jan-Luca Schuler (Hertha Berlin) Substitution at 67',2024-08-04 09:28:48
12749,711815,7,43488888,67',Michal Karbownik (Hertha Berlin) Substitution at 67',2024-08-04 09:28:48
12749,711815,8,43488891,69',Sven Michel (SC Paderborn 07) Yellow Card at 69',2024-08-04 09:28:48
12749,711815,9,43488893,69',Adriano Grimaldi (SC Paderborn 07) Substitution at 69',2024-08-04 09:28:48
12749,711815,10,43488894,70',Ilyas Ansah (SC Paderborn 07) Substitution at 70',2024-08-04 09:28:48
12749,711815,11,43488906,72',Ibrahim Maza (Hertha Berlin) Goal at 72',2024-08-04 09:28:48
12749,711815,12,43488939,78',David Kinsombi (SC Paderborn 07) Substitution at 78',2024-08-04 09:28:48
12749,711815,13,43488979,88',Jan-Luca Schuler (Hertha Berlin) Yellow Card at 88',2024-08-04 09:28:48
12749,711816,0,43513095,30',Jannis Heuer (Kaiserslautern) Yellow Card at 30',2024-08-10 09:36:01
12749,711816,1,43513096,31',Julian Green (SpVgg Greuther Furth) Penalty - Scored at 31',2024-08-10 09:36:01
12749,711816,2,43513107,38',Noel Futkeu (SpVgg Greuther Furth) Goal at 38',2024-08-10 09:36:01
12749,711816,3,43513163,45'+1',Daniel Hanslik (Kaiserslautern) Goal at 46',2024-08-10 09:36:01
12749,711816,4,43513171,45'+3',Boris Tomiak (Kaiserslautern) Yellow Card at 48',2024-08-10 09:36:01
12749,711816,5,43513303,45',Niko Gießelmann (SpVgg Greuther Furth) Substitution at 45',2024-08-10 09:36:01
12749,711816,6,43513412,63',Jannik Mause (Kaiserslautern) Substitution at 63',2024-08-10 09:36:01
12749,711816,7,43513492,73',Ragnar Ache (Kaiserslautern) Substitution at 73',2024-08-10 09:36:01
12749,711816,8,43513493,73',Jan Gyamerah (Kaiserslautern) Substitution at 73',2024-08-10 09:36:01
12749,711816,9,43513518,76',Dennis Srbeny (SpVgg Greuther Furth) Yellow Card at 76',2024-08-10 09:36:01
12749,711816,10,43513519,77',Maximilian Dietz (SpVgg Greuther Furth) Substitution at 77',2024-08-10 09:36:01
12749,711816,11,43513520,77',Jomaine Consbruch (SpVgg Greuther Furth) Substitution at 77',2024-08-10 09:36:01
12749,711816,12,43513540,79',Jan Elvedi (Kaiserslautern) Yellow Card at 79',2024-08-10 09:36:01
12749,711816,13,43513586,84',Ragnar Ache (Kaiserslautern) Goal at 84',2024-08-10 09:36:01
12749,711816,14,43513610,88',Damian Michalski (SpVgg Greuther Furth) Substitution at 88',2024-08-10 09:36:01
12749,711816,15,43513611,88',Leander Popp (SpVgg Greuther Furth) Substitution at 88',2024-08-10 09:36:01
12749,711816,16,43513629,90'+2',Tobias Raschl (Kaiserslautern) Substitution at 92',2024-08-10 09:36:01
12749,711817,0,43518741,40',Ron Schallenberg (Schalke 04) Yellow Card at 40',2024-08-11 09:18:25
12749,711817,1,43518748,42',Jens Castrop (1. FC Nürnberg) Yellow Card at 42',2024-08-11 09:18:25
12749,711817,2,43518781,43',Caspar Jander (1. FC Nürnberg) Yellow Card at 43',2024-08-12 09:38:45
12749,711817,3,43518808,45',Ibrahima Cissé (Schalke 04) Goal at 45',2024-08-11 09:18:25
12749,711817,4,43518847,45'+3',Ron Schallenberg (Schalke 04) Red Card at 48',2024-08-11 09:18:25
12749,711817,5,43519078,45',Enrico Valentini (1. FC Nürnberg) Substitution at 45',2024-08-11 09:18:25
12749,711817,6,43519079,45',Dustin Forkel (1. FC Nürnberg) Substitution at 45',2024-08-11 09:18:25
12749,711817,7,43519102,45',Mehmet Can Aydin (Schalke 04) Substitution at 45',2024-08-11 09:18:25
12749,711817,8,43519103,47',Lukas Schleimer (1. FC Nürnberg) Goal at 47',2024-08-11 09:18:25
12749,711817,9,43519222,54',Kenan Karaman (Schalke 04) Yellow Card at 54',2024-08-11 09:18:25
12749,711817,10,43519254,56',Caspar Jander (1. FC Nürnberg) Goal at 56',2024-08-11 09:18:25
12749,711817,11,43519290,66',Anton Donkor (Schalke 04) Substitution at 66',2024-08-11 09:18:25
12749,711817,12,43519291,66',Caspar Jander (1. FC Nürnberg) Red Card at 66',2024-08-11 09:18:25
12749,711817,13,43519292,67',Ondrej Karafiat (1. FC Nürnberg) Substitution at 67',2024-08-11 09:18:25
12749,711817,14,43519366,76',Rafael Lubach (1. FC Nürnberg) Substitution at 76',2024-08-11 09:18:25
12749,711817,15,43519367,76',Rafael Lubach (1. FC Nürnberg) Goal at 76',2024-08-11 09:18:25
12749,711817,16,43519515,87',Tim Janisch (1. FC Nürnberg) Substitution at 87',2024-08-12 09:38:45
12749,711817,17,43519604,90'+2',Janik Bachmann (Schalke 04) Yellow Card at 92',2024-08-11 09:18:25
12749,711818,0,43528545,13',Martijn Kaars (1. FC Magdeburg) Goal at 13',2024-08-12 09:38:45
12749,711818,1,43528562,16',Tatsuya Ito (1. FC Magdeburg) Substitution at 16',2024-08-12 09:38:45
12749,711818,2,43528594,22',Philipp Hercher (1. FC Magdeburg) Substitution at 22',2024-08-12 09:38:45
12749,711818,3,43528790,45',Marvin Rittmüller (TSV Eintracht Braunschweig) Substitution at 45',2024-08-12 09:38:45
12749,711818,4,43528791,45',Fabio Kaufmann (TSV Eintracht Braunschweig) Substitution at 45',2024-08-12 09:38:45
12749,711818,5,43528792,45',Andi Hoti (1. FC Magdeburg) Substitution at 45',2024-08-12 09:38:45
12749,711818,6,43528863,55',Martijn Kaars (1. FC Magdeburg) Goal at 55',2024-08-12 09:38:45
12749,711818,7,43528892,59',Silas Gnaka (1. FC Magdeburg) Goal at 59',2024-08-12 09:38:45
12749,711818,8,43528913,62',Fabio Di-Michele-Sanchez (TSV Eintracht Braunschweig) Substitution at 62',2024-08-12 09:38:45
12749,711818,9,43528914,62',Christian Conteh (TSV Eintracht Braunschweig) Substitution at 62',2024-08-12 09:38:45
12749,711818,10,43528947,67',Rayan Philippe (TSV Eintracht Braunschweig) Goal at 67',2024-08-12 09:38:45
12749,711818,11,43528997,73',Connor Krempicki (1. FC Magdeburg) Substitution at 73',2024-08-12 09:38:45
12749,711818,12,43528998,74',Bryan Teixeira (1. FC Magdeburg) Substitution at 74',2024-08-12 09:38:45
12749,711818,13,43529041,79',Walid Ould-Chikh (TSV Eintracht Braunschweig) Substitution at 79',2024-08-12 09:38:45
12749,711818,14,43529136,90'+5',Silas Gnaka (1. FC Magdeburg) Yellow Card at 95',2024-08-12 09:38:45
12749,711819,0,43518678,39',Nicolai Rapp (Karlsruher SC) Yellow Card at 39',2024-08-11 09:18:25
12749,711819,1,43519283,62',Jona Niemiec (Fortuna Düsseldorf) Substitution at 62',2024-08-11 09:18:25
12749,711819,2,43519288,67',Andre Hoffmann (Fortuna Düsseldorf) Yellow Card at 67',2024-08-11 09:18:25
12749,711819,3,43519297,72',Bambasé Conté (Karlsruher SC) Substitution at 72',2024-08-11 09:18:25
12749,711819,4,43519298,72',Andrin Hunziker (Karlsruher SC) Substitution at 72',2024-08-11 09:18:25
12749,711819,5,43519340,76',Felix Klaus (Fortuna Düsseldorf) Yellow Card at 76',2024-08-12 09:38:45
12749,711819,6,43519368,78',Danny Schmidt (Fortuna Düsseldorf) Substitution at 78',2024-08-12 09:38:45
12749,711819,7,43519369,79',David Herold (Karlsruher SC) Substitution at 79',2024-08-11 09:18:25
12749,711819,8,43519583,90'+2',Robin Heusser (Karlsruher SC) Substitution at 92',2024-08-11 09:18:25
12749,711819,9,43519584,90'+2',Jordy de Wijs (Fortuna Düsseldorf) Substitution at 92',2024-08-11 09:18:25
12749,711820,0,43523606,11',Ransford-Yeboah Königsdörffer (Hamburg SV) Goal at 11',2024-08-11 09:18:25
12749,711820,1,43523832,35',Jeremy Dudziak (Hertha Berlin) Yellow Card at 35',2024-08-11 09:18:25
12749,711820,2,43523879,39',Daniel Elfadli (Hamburg SV) Yellow Card at 39',2024-08-11 09:18:25
12749,711820,3,43524143,45',Deyovaiso Zeefuik (Hertha Berlin) Substitution at 45',2024-08-11 09:18:25
12749,711820,4,43524342,61',Sebastian Schonlau (Hamburg SV) Yellow Card at 61',2024-08-11 09:18:25
12749,711820,5,43524380,64',Toni Leistner (Hertha Berlin) Substitution at 64',2024-08-12 09:38:45
12749,711820,6,43524406,67',Silvan Hefti (Hamburg SV) Substitution at 67',2024-08-11 09:18:25
12749,711820,7,43524407,67',Immanuel Pherai (Hamburg SV) Substitution at 67',2024-08-11 09:18:25
12749,711820,8,43524438,70',Davie Selke (Hamburg SV) Substitution at 70',2024-08-11 09:18:25
12749,711820,9,43524514,76',Jan-Luca Schuler (Hertha Berlin) Substitution at 76',2024-08-11 09:18:25
12749,711820,10,43524515,76',Márton Dárdai (Hertha Berlin) Substitution at 76',2024-08-11 09:18:25
12749,711820,11,43524605,83',Fabio Baldé (Hamburg SV) Substitution at 83',2024-08-11 09:18:25
12749,711820,12,43524606,83',Guilherme Ramos (Hamburg SV) Substitution at 83',2024-08-11 09:18:25
12749,711820,13,43524628,84',Deyovaiso Zeefuik (Hertha Berlin) Yellow Card at 84',2024-08-11 09:18:25
12749,711820,14,43524644,86',Jonjoe Kenny (Hertha Berlin) Goal at 86',2024-08-11 09:18:25
12749,711820,15,43524759,90'+2',Gustav Christensen (Hertha Berlin) Substitution at 92',2024-08-11 09:18:25
12749,711821,0,43528507,7',Oscar Wilhelmsson (SV Darmstadt 98) Goal at 7',2024-08-12 09:38:45
12749,711821,1,43528523,10',Visar Musliu (SC Paderborn 07) Yellow Card at 10',2024-08-12 09:38:45
12749,711821,2,43528768,45',Marcel Hoffmeier (SC Paderborn 07) Substitution at 45',2024-08-12 09:38:45
12749,711821,3,43528769,45',Luca Herrmann (SC Paderborn 07) Substitution at 45',2024-08-12 09:38:45
12749,711821,4,43528775,46',Matthias Bader (SV Darmstadt 98) Yellow Card at 46',2024-08-12 09:38:45
12749,711821,5,43528830,53',Sebastian Klaas (SC Paderborn 07) Goal at 53',2024-08-12 09:38:45
12749,711821,6,43528893,64',Filip Bilbija (SC Paderborn 07) Goal at 64',2024-08-12 09:38:45
12749,711821,7,43528920,64',Sergio López (SV Darmstadt 98) Substitution at 64',2024-08-12 09:38:45
12749,711821,8,43528921,64',Merveille Papela (SV Darmstadt 98) Substitution at 64',2024-08-12 09:38:45
12749,711821,9,43528961,73',David Kinsombi (SC Paderborn 07) Substitution at 73',2024-08-12 09:38:45
12749,711821,10,43528977,74',Andreas Müller (SV Darmstadt 98) Substitution at 74',2024-08-12 09:38:45
12749,711821,11,43528978,75',Fraser Hornby (SV Darmstadt 98) Substitution at 75',2024-08-15 09:25:10
12749,711821,12,43529004,78',Ilyas Ansah (SC Paderborn 07) Substitution at 78',2024-08-15 09:25:10
12749,711821,13,43529005,79',Adriano Grimaldi (SC Paderborn 07) Substitution at 79',2024-08-12 09:38:45
12749,711821,14,43529028,81',Filip Stojilkovic (SV Darmstadt 98) Substitution at 81',2024-08-12 09:38:45
12749,711821,15,43529040,83',Ilyas Ansah (SC Paderborn 07) Goal at 83',2024-08-12 09:38:45
12749,711822,0,43528492,5',Josh Knight (Hannover 96) Yellow Card at 5',2024-08-12 09:38:45
12749,711822,1,43528581,21',Lukas Frenkert (Preußen Münster) Yellow Card at 21',2024-08-12 09:38:45
12749,711822,2,43528760,45',Andreas Voglsammer (Hannover 96) Substitution at 45',2024-08-12 09:38:45
12749,711822,3,43528764,45',Max Christiansen (Hannover 96) Substitution at 45',2024-08-12 09:38:45
12749,711822,4,43528835,54',Niko Koulis (Preußen Münster) Yellow Card at 54',2024-08-12 09:38:45
12749,711822,5,43528861,58',Joshua Mees (Preußen Münster) Yellow Card at 58',2024-08-12 09:38:45
12749,711822,6,43528870,61',Daniel Kyerewaa (Preußen Münster) Substitution at 61',2024-08-12 09:38:45
12749,711822,7,43528910,66',Charalampos Makridis (Preußen Münster) Substitution at 66',2024-08-12 09:38:45
12749,711822,8,43528911,66',Jessic Ngankam (Hannover 96) Substitution at 66',2024-08-12 09:38:45
